 Step       Num walks        Ene     acc_prob
        62           680       1.6884666771       0.8592592593
        63           684       1.6884203697       0.8764705882
        64           688       1.6885272435       0.8859649123
        65           695       1.6884970050       0.8546511628
        66           698       1.6884279346       0.8877697842
        67           702       1.6884550551       0.8696275072
        68           703       1.6885225763       0.8561253561
        69           706       1.6885505850       0.8691322902
        70           710       1.6886362874       0.8725212465
        71           718       1.6884438328       0.8563380282
        72           722       1.6884518581       0.8885793872
        73           724       1.6884947446       0.8573407202
        74           728       1.6885021480       0.8480662983
        75           732       1.6884971776       0.8667582418
        76           734       1.6884760852       0.8729508197
        77           740       1.6884869345       0.8637602180
        78           741       1.6886440500       0.8608108108
        79           741       1.6886312714       0.8663967611
        80           744       1.6885863887       0.8839406208
        81           745       1.6885258855       0.8870967742
        82           748       1.6885266789       0.8966442953
        83           751       1.6885346129       0.8810160428
        84           755       1.6884925347       0.8641810919
        85           760       1.6885768511       0.8768211921
        86           767       1.6885524145       0.8684210526
        87           769       1.6885175913       0.8644067797
        88           773       1.6885495292       0.8608582575
        89           775       1.6885108749       0.8745148771
        90           777       1.6885305108       0.8774193548
        91           781       1.6885293816       0.8519948520
        92           783       1.6886476495       0.8950064020
        93           791       1.6885117172       0.8901660281
        94           796       1.6884984393       0.8672566372
        95           801       1.6885399055       0.8756281407
        96           809       1.6883702714       0.8776529338
        97           814       1.6883007774       0.8776266996
        98           815       1.6880311125       0.8746928747
        99           819       1.6884472109       0.8785276074
       100           825       1.6881157955       0.8791208791
       101           825       1.6884439699       0.8763636364
       102           825       1.6884878788       0.8557575758
       103           823       1.6885732082       0.8533333333
       104           821       1.6885330926       0.8639125152
       105           817       1.6885999495       0.8891595615
       106           815       1.6885515647       0.8849449204
       107           815       1.6884569736       0.8674846626
       108           815       1.6884688820       0.8674846626
       109           815       1.6885943107       0.8613496933
       110           815       1.6885219470       0.8699386503
       111           815       1.6886180541       0.8687116564
       112           813       1.6885326818       0.8638036810
       113           813       1.6885928146       0.8646986470
       114           811       1.6885376215       0.8597785978
       115           809       1.6885564677       0.8483353884
       116           809       1.6886337423       0.9085290482
       117           809       1.6886635170       0.8813349815
       118           809       1.6886133852       0.8726823239
       119           807       1.6887099107       0.8739184178
       120           807       1.6886152047       0.8760842627
       121           805       1.6886726557       0.8711276332
       122           797       1.6886736333       0.8881987578
       123           797       1.6886434209       0.8682559598
       124           795       1.6886348884       0.8670012547
       125           791       1.6886068002       0.8805031447
       126           791       1.6886393436       0.8558786346
       127           789       1.6886158447       0.8533501896
       128           787       1.6886228701       0.8808618504
       129           785       1.6887011580       0.8742058450
       130           783       1.6886373630       0.8764331210
       131           781       1.6886243525       0.8799489144
       132           779       1.6885672485       0.8668373880
       133           779       1.6886156838       0.8793324775
       134           777       1.6886496118       0.8613607189
       135           773       1.6886610117       0.8597168597
       136           773       1.6886542439       0.8835705045
       137           773       1.6887315515       0.8900388098
       138           771       1.6886301772       0.8926261320
       139           771       1.6886081401       0.8767833982
       140           767       1.6885978421       0.8599221790
       141           763       1.6885916694       0.8670143416
       142           759       1.6886016567       0.8781127130
       143           759       1.6886309620       0.8814229249
       144           757       1.6886113499       0.8985507246
       145           757       1.6886559241       0.8652575958
       146           757       1.6886138222       0.8784676354
       147           755       1.6886549289       0.8692206077
       148           753       1.6886120288       0.8821192053
       149           753       1.6886559703       0.8738379814
       150           753       1.6886558706       0.8818061089
       151           753       1.6886576452       0.8658698539
       152           753       1.6886435481       0.8685258964
       153           753       1.6886383146       0.8751660027
       154           751       1.6886685319       0.8472775564
       155           749       1.6886283008       0.8801597870
       156           747       1.6886075620       0.8571428571
       157           743       1.6886949516       0.8621151272
       158           743       1.6887087413       0.8802153432
       159           743       1.6886854772       0.8923283984
       160           743       1.6886942985       0.8829071332
       161           735       1.6887087340       0.8909825034
       162           735       1.6887309551       0.8680272109
       163           731       1.6887112177       0.8761904762
       164           731       1.6886913676       0.8467852257
       165           729       1.6886844391       0.8768809850
       166           727       1.6886349546       0.8669410151
       167           723       1.6886038302       0.8872077029
