 Step       Num walks        Ene     acc_prob
       118           102       1.6884268269       0.9705882353
       119           100       1.6884027394       0.8725490196
       120            98       1.6883578564       0.9200000000
       121            98       1.6883545723       0.9591836735
       122            98       1.6883604855       0.9285714286
       123            98       1.6883468546       0.9795918367
       124            98       1.6883835783       0.9285714286
       125            98       1.6883774589       0.9489795918
       126            98       1.6883929364       0.9489795918
       127            98       1.6884348749       0.9183673469
       128            98       1.6884058968       0.9387755102
       129            98       1.6883224494       0.9591836735
       130            98       1.6883776542       0.9081632653
       131            98       1.6883657314       0.9591836735
       132            98       1.6883699134       0.9489795918
       133            98       1.6883957414       0.9591836735
       134            98       1.6883937097       0.9387755102
       135            98       1.6883642228       0.9693877551
       136            98       1.6883238297       0.9897959184
       137            98       1.6883307541       1.0000000000
       138            98       1.6883092328       0.9183673469
       139            98       1.6882727769       0.9183673469
       140            98       1.6882744189       0.9489795918
       141            98       1.6882686098       0.9693877551
       142            96       1.6882609274       0.9795918367
       143            96       1.6883448416       0.9791666667
       144            96       1.6883153719       0.9375000000
       145            96       1.6882767882       0.9479166667
       146            96       1.6882548082       0.9270833333
       147            96       1.6882808324       0.9062500000
       148            96       1.6882710116       0.9687500000
       149            96       1.6883491628       0.9583333333
       150            96       1.6883366530       0.9687500000
       151            96       1.6883250221       0.9062500000
       152            96       1.6883597861       0.9270833333
       153            96       1.6883699810       0.9270833333
       154            96       1.6882945072       0.9166666667
       155            96       1.6882817287       0.9791666667
       156            96       1.6883805352       0.9583333333
       157            96       1.6883553901       0.9166666667
       158            96       1.6883519959       0.9687500000
       159            96       1.6883804614       0.9687500000
       160            96       1.6883684107       0.9270833333
       161            96       1.6884095918       0.9791666667
       162            96       1.6884336491       0.9479166667
       163            96       1.6883828406       0.9166666667
       164            96       1.6884101629       0.9791666667
       165            96       1.6884234902       0.9583333333
       166            96       1.6884607177       0.9583333333
       167            96       1.6884887127       0.9479166667
